,root,velocity,relativeTime,duration,forte-cardinality,forte-class,forte,bpm,quality
66,7,70.5,620,470,2,5,2-5,119.19993006937436,other
67,11,64.0,600,420,2,3,2-3,119.19993006937436,minor
68,7,55.0,659,961,2,5,2-5,119.19993006937436,other
69,7,58.5,641,430,2,4,2-4,119.19993006937436,major
70,5,52.0,590,280,2,4,2-4,119.19993006937436,major
71,5,47.0,1850,460,2,4,2-4,119.19993006937436,other
72,2,43.333333333333336,50,410,3,9,3-9,119.19993006937436,other
73,5,46.0,720,130,4,19,4-19B,119.19993006937436,augmented
74,5,57.8,1140,950,4,19,4-19B,119.19993006937436,augmented
75,0,60.333333333333336,1220,790,3,9,3-9,119.19993006937436,other
76,7,75.0,1260,1440,4,18,4-18A,119.19993006937436,major
77,9,53.0,1860,3210,3,11,3-11A,119.19993006937436,minor
78,9,60.0,1940,1490,3,7,3-7B,119.19993006937436,other
79,5,77.5,1910,790,2,4,2-4,119.19993006937436,major
80,5,57.5,60,2050,2,4,2-4,119.19993006937436,major
81,9,57.0,1800,160,1,1,1-1,119.19993006937436,other
82,9,52.0,1390,210,2,3,2-3,119.19993006937436,minor
83,11,50.75,660,2550,3,7,3-7B,119.19993006937436,other
